time beta 
-77100 0.21304969
-77050 0.17981113
-77000 0.14745521
-76950 0.11702014
-76900 0.08945684
-76850 0.06559282
-76800 0.04610831
-76750 0.03152535
-76700 0.02220895
-76650 0.01837899
-76600 0.02012985
-76550 0.02745474
-76500 0.04027099
-76450 0.05844300
-76400 0.08179971
-76350 0.11014435
-76300 0.14325525
-76250 0.18087763
-76200 0.22270735
-76150 0.26836894
-76100 0.31739090
-76050 0.36918198
-76000 0.42301248
-75950 0.47800418
-75900 0.53313231
-75850 0.58724175
-75800 0.63907854
-75750 0.68733639
-75700 0.73071629
-75650 0.76799585
-75600 0.79810393
-75550 0.82019500
-75500 0.83371717
-75450 0.83846798
-75400 0.83463230
-75350 0.82279783
-75300 0.80394521
-75250 0.77941117
-75200 0.75082570
-75150 0.72002585
-75100 0.68895082
-75050 0.65952497
-75000 0.63353613
-74950 0.61251795
-74900 0.59764448
-74850 0.58964529
-74800 0.58874763
-74750 0.59465096
-74700 0.60653655
-74650 0.62311265
-74600 0.64269302
-74550 0.66330406
-74500 0.68281381
-74450 0.69907396
-74400 0.71006524
-74350 0.71403583
-74300 0.70962296
-74250 0.69594880
-74200 0.67268363
-74150 0.64007141
-74100 0.59891571
-74050 0.55052685
-74000 0.49663391
-73950 0.43926780
-73900 0.38062402
-73850 0.32291498
-73800 0.26822276
-73750 0.21836308
-73700 0.17477053
-73650 0.13841339
-73600 0.10974434
-73550 0.08869042
-73500 0.07468297
-73450 0.06672480
-73400 0.06348958
-73350 0.06344551
-73300 0.06499366
-73250 0.06661055
-73200 0.06698361
-73150 0.06512940
-73100 0.06048518
-73050 0.05296691
-73000 0.04298899
-72950 0.03144412
-72900 0.01964466
-72850 0.00922957
-72800 0.00204397
-72750 0.00000000
-72700 0.00492927
-72650 0.01843779
-72600 0.04177401
-72550 0.07571956
-72500 0.12051080
-72450 0.17579671
-72400 0.24063633
-72350 0.31353587
-72300 0.39252283
-72250 0.47525203
-72200 0.55913602
-72150 0.64149092
-72100 0.71968779
-72050 0.79129926
-72000 0.85423188
-71950 0.90683562
-71900 0.94798402
-71850 0.97712018
-71800 0.99426671
-71750 1.00000000
-71700 0.99539146
-71650 0.98192084
-71600 0.96136812
-71550 0.93569177
-71500 0.90690177
-71450 0.87693592
-71400 0.84754703
-71350 0.82020800
-71300 0.79603986
-71250 0.77576650
-71200 0.75969755
-71150 0.74773914
-71100 0.73943057
-71050 0.73400309
-71000 0.73045602
-70950 0.72764439
-70900 0.72437210
-70850 0.71948418
-70800 0.71195266
-70750 0.70095068
-70700 0.68591084
-70650 0.66656490
-70600 0.64296303
-70550 0.61547223
-70500 0.58475482
-70450 0.55172887
-70400 0.51751345
-70350 0.48336230
-70300 0.45059012
-70250 0.42049568
-70200 0.39428629
-70150 0.37300778
-70100 0.35748372
-70050 0.34826735
-70000 0.34560847
-69950 0.34943725
-69900 0.35936572
-69850 0.37470680
-69800 0.39451001
-69750 0.41761180
-69700 0.44269787
-69650 0.46837421
-69600 0.49324267
-69550 0.51597712
-69500 0.53539561
-69450 0.55052437
-69400 0.56064983
-69350 0.56535528
-69300 0.56453997
-69250 0.55841907
-69200 0.54750446
-69150 0.53256726
-69100 0.51458435
-69050 0.49467231
-69000 0.47401288
-68950 0.45377504
-68900 0.43503888
-68850 0.41872662
-68800 0.40554553
-68750 0.39594694
-68700 0.39010429
-68650 0.38791183
-68600 0.38900416
-68550 0.39279511
-68500 0.39853286
-68450 0.40536732
-68400 0.41242418
-68350 0.41887993
-68300 0.42403170
-68250 0.42735625
-68200 0.42855329
-68150 0.42756929
-68100 0.42459977
-68050 0.42006985
-68000 0.41459428
-67950 0.40892049
-67900 0.40385919
-67850 0.40020852
-67800 0.39867828
-67750 0.39982075
-67700 0.40397445
-67650 0.41122584
-67600 0.42139264
-67550 0.43403069
-67500 0.44846411
-67450 0.46383643
-67400 0.47917871
-67350 0.49348879
-67300 0.50581498
-67250 0.51533682
-67200 0.52143572
-67150 0.52374914
-67100 0.52220309
-67050 0.51701991
-67000 0.50870009
-66950 0.49797952
-66900 0.48576544
-66850 0.47305668
-66800 0.46085504
-66750 0.45007569
-66700 0.44146469
-66650 0.43553132
-66600 0.43250138
-66550 0.43229649
-66500 0.43454130
-66450 0.43859884
-66400 0.44363108
-66350 0.44867976
-66300 0.45276040
-66250 0.45496106
-66200 0.45453694
-66150 0.45099182
-66100 0.44413853
-66050 0.43413216
-66000 0.42147224
-65950 0.40697268
-65900 0.39170119
-65850 0.37689268
-65800 0.36384377
-65750 0.35379719
-65700 0.34782619
-65650 0.34672945
-65600 0.35094598
-65550 0.36049854
-65500 0.37497135
-65450 0.39352533
-65400 0.41495079
-65350 0.43775410
-65300 0.46027226
-65250 0.48080602
-65200 0.49776105
-65150 0.50978523
-65100 0.51589038
-65050 0.51554771
-65000 0.50874824
-64950 0.49602232
-64900 0.47841546
-64850 0.45742155
-64800 0.43487783
-64750 0.41282952
-64700 0.39337440
-64650 0.37849958
-64600 0.36992343
-64550 0.36895549
-64500 0.37638568
-64450 0.39241193
-64400 0.41661245
-64350 0.44796495
-64300 0.48491175
-64250 0.52546561
-64200 0.56734829
-64150 0.60815080
-64100 0.64550303
-64050 0.67723933
-64000 0.70154757
-63950 0.71709000
-63900 0.72308737
-63850 0.71936010
-63800 0.70632433
-63750 0.68494413
-63700 0.65664462
-63650 0.62319377
-63600 0.58656322
-63550 0.54877942
-63500 0.51177734
-63450 0.47726809
-63400 0.44663047
-63350 0.42083401
-63300 0.40039848
-63250 0.38539119
-63200 0.37546077
-63150 0.36990265
-63100 0.36774916
-63050 0.36787553
-63000 0.36911184
-62950 0.37035114
-62900 0.37064449
-62850 0.36927565
-62800 0.36580975
-62750 0.36011339
-62700 0.35234579
-62650 0.34292366
-62600 0.33246441
-62550 0.32171405
-62500 0.31146754
-62450 0.30248914
-62400 0.29544035
-62350 0.29082172
-62300 0.28893328
-62250 0.28985612
-62200 0.29345590
-62150 0.29940644
-62100 0.30723013
-62050 0.31635007
-62000 0.32614830
-61950 0.33602380
-61900 0.34544469
-61850 0.35398963
-61800 0.36137485
-61750 0.36746508
-61700 0.37226812
-61650 0.37591471
-61600 0.37862684
-61550 0.38067865
-61500 0.38235468
-61450 0.38391045
-61400 0.38553973
-61350 0.38735199
-61300 0.38936238
-61250 0.39149474
-61200 0.39359711
-61150 0.39546719
-61100 0.39688458
-61050 0.39764553
-61000 0.39759575
-60950 0.39665717
-60900 0.39484511
-60850 0.39227354
-60800 0.38914747
-60750 0.38574310
-60700 0.38237784
-60650 0.37937354
-60600 0.37701739
-60550 0.37552503
-60500 0.37501096
-60450 0.37546999
-60400 0.37677301
-60350 0.37867848
-60300 0.38085943
-60250 0.38294402
-60200 0.38456586
-60150 0.38541915
-60100 0.38531265
-60050 0.38421622
-60000 0.38229405
-59950 0.37991963
-59900 0.37766904
-59850 0.37629120
-59800 0.37665602
-59750 0.37968343
-59700 0.38625880
-59650 0.39714174
-59600 0.41287640
-59550 0.43371214
-59500 0.45954261
-59450 0.48987054
-59400 0.52380353
-59350 0.56008328
-59300 0.59714858
-59250 0.63322855
-59200 0.66646034
-59150 0.69502287
-59100 0.71727610
-59050 0.73189483
-59000 0.73798536
-58950 0.73517492
-58900 0.72366497
-58850 0.70424279
-58800 0.67824850
-58750 0.64749858
-58700 0.61417050
-58650 0.58065628
-58600 0.54939571
-58550 0.52270189
-58500 0.50259247
-58450 0.49064006
-58400 0.48785381
-58350 0.49460176
-58300 0.51058085
-58250 0.53483696
-58200 0.56583425
-58150 0.60156832
-58100 0.63971468
-58050 0.67780081
-58000 0.71338843
-57950 0.74425150
-57900 0.76853605
-57850 0.78488930
-57800 0.79254801
-57750 0.79137962
-57700 0.78187324
-57650 0.76508187
-57600 0.74252121
-57550 0.71603377
-57500 0.68762981
-57450 0.65931847
-57400 0.63294301
-57350 0.61003348
-57300 0.59168889
-57250 0.57849783
-57200 0.57050371
-57150 0.56721657
-57100 0.56766985
-57050 0.57051670
-57000 0.57415711
-56950 0.57688492
-56900 0.57704223
-56850 0.57316826
-56800 0.56413043
-56750 0.54922721
-56700 0.52825465
-56650 0.50153165
-56600 0.46988264
-56550 0.43457962
-56500 0.39724901
-56450 0.35975115
-56400 0.32404274
-56350 0.29203315
-56300 0.26544606
-56250 0.24569697
-56200 0.23379556
-56150 0.23027951
-56100 0.23518390
-56050 0.24804718
-56000 0.26795164
-55950 0.29359419
-55900 0.32338058
-55850 0.35553501
-55800 0.38821629
-55750 0.41963175
-55700 0.44814070
-55650 0.47234086
-55600 0.49113279
-55550 0.50375968
-55500 0.50982178
-55450 0.50926708
-55400 0.50236157
-55350 0.48964349
-55300 0.47186725
-55250 0.44994245
-55200 0.42487353
-55150 0.39770447
-55100 0.36947214
-55050 0.34117019
-55000 0.31372435
-54950 0.28797820
-54900 0.26468782
-54850 0.24452250
-54800 0.22806872
-54750 0.21583420
-54700 0.20824957
-54650 0.20566569
-54600 0.20834583
-54550 0.21645269
-54500 0.23003161
-54450 0.24899197
-54400 0.27308948
-54350 0.30191248
-54300 0.33487508
-54250 0.37121990
-54200 0.41003201
-54150 0.45026492
-54100 0.49077830
-54050 0.53038570
-54000 0.56790974
-53950 0.60224104
-53900 0.63239682
