time	alpha
 -266200	-0.0234067470
 -266150	-0.0218377216
 -266100	-0.0202715064
 -266050	-0.0187084216
 -266000	-0.0171487862
 -265950	-0.0155929180
 -265900	-0.0140411334
 -265850	-0.0124937474
 -265800	-0.0109510739
 -265750	-0.0094134248
 -265700	-0.0078811109
 -265650	-0.0063544410
 -265600	-0.0048337223
 -265550	-0.0033192605
 -265500	-0.0018113592
 -265450	-0.0003103203
 -265400	 0.0011835566
 -265350	 0.0026699734
 -265300	 0.0041486345
 -265250	 0.0056192463
 -265200	 0.0070815172
 -265150	 0.0085351582
 -265100	 0.0099798824
 -265050	 0.0114154055
 -265000	 0.0128414453
 -264950	 0.0142577226
 -264900	 0.0156639604
 -264850	 0.0170598844
 -264800	 0.0184452232
 -264750	 0.0198197081
 -264700	 0.0211830730
 -264650	 0.0225350549
 -264600	 0.0238753938
 -264550	 0.0252038324
 -264500	 0.0265201168
 -264450	 0.0278239959
 -264400	 0.0291152219
 -264350	 0.0303935502
 -264300	 0.0316587395
 -264250	 0.0329105517
 -264200	 0.0341487522
 -264150	 0.0353731096
 -264100	 0.0365833963
 -264050	 0.0377793878
 -264000	 0.0389608635
 -263950	 0.0401276062
 -263900	 0.0412794024
 -263850	 0.0424160425
 -263800	 0.0435373203
 -263750	 0.0446430336
 -263700	 0.0457329841
 -263650	 0.0468069773
 -263600	 0.0478648226
 -263550	 0.0489063333
 -263500	 0.0499313271
 -263450	 0.0509396252
 -263400	 0.0519310534
 -263350	 0.0529054414
 -263300	 0.0538626231
 -263250	 0.0548024367
 -263200	 0.0557247246
 -263150	 0.0566293335
 -263100	 0.0575161145
 -263050	 0.0583849231
 -263000	 0.0592356191
 -262950	 0.0600680669
 -262900	 0.0608821353
 -262850	 0.0616776975
 -262800	 0.0624546314
 -262750	 0.0632128196
 -262700	 0.0639521489
 -262650	 0.0646725112
 -262600	 0.0653738028
 -262550	 0.0660559247
 -262500	 0.0667187827
 -262450	 0.0673622872
 -262400	 0.0679863536
 -262350	 0.0685909018
 -262300	 0.0691758568
 -262250	 0.0697411483
 -262200	 0.0702867108
 -262150	 0.0708124837
 -262100	 0.0713184115
 -262050	 0.0718044433
 -262000	 0.0722705335
 -261950	 0.0727166411
 -261900	 0.0731427302
 -261850	 0.0735487701
 -261800	 0.0739347347
 -261750	 0.0743006032
 -261700	 0.0746463599
 -261650	 0.0749719938
 -261600	 0.0752774992
 -261550	 0.0755628755
 -261500	 0.0758281269
 -261450	 0.0760732630
 -261400	 0.0762982982
 -261350	 0.0765032521
 -261300	 0.0766881495
 -261250	 0.0768530201
 -261200	 0.0769978988
 -261150	 0.0771228254
 -261100	 0.0772278452
 -261050	 0.0773130081
 -261000	 0.0773783694
 -260950	 0.0774239894
 -260900	 0.0774499335
 -260850	 0.0774562720
 -260800	 0.0774430805
 -260750	 0.0774104395
 -260700	 0.0773584346
 -260650	 0.0772871564
 -260600	 0.0771967005
 -260550	 0.0770871677
 -260500	 0.0769586637
 -260450	 0.0768112990
 -260400	 0.0766451893
 -260350	 0.0764604553
 -260300	 0.0762572225
 -260250	 0.0760356214
 -260200	 0.0757957874
 -260150	 0.0755378608
 -260100	 0.0752619868
 -260050	 0.0749683153
 -260000	 0.0746570013
 -259950	 0.0743282044
 -259900	 0.0739820890
 -259850	 0.0736188243
 -259800	 0.0732385843
 -259750	 0.0728415476
 -259700	 0.0724278974
 -259650	 0.0719978217
 -259600	 0.0715515132
 -259550	 0.0710891688
 -259500	 0.0706109904
 -259450	 0.0701171842
 -259400	 0.0696079610
 -259350	 0.0690835358
 -259300	 0.0685441283
 -259250	 0.0679899625
 -259200	 0.0674212666
 -259150	 0.0668382734
 -259100	 0.0662412198
 -259050	 0.0656303468
 -259000	 0.0650058997
 -258950	 0.0643681281
 -258900	 0.0637172854
 -258850	 0.0630536293
 -258800	 0.0623774212
 -258750	 0.0616889269
 -258700	 0.0609884157
 -258650	 0.0602761610
 -258600	 0.0595524400
 -258550	 0.0588175335
 -258500	 0.0580717263
 -258450	 0.0573153065
 -258400	 0.0565485662
 -258350	 0.0557718008
 -258300	 0.0549853092
 -258250	 0.0541893939
 -258200	 0.0533843608
 -258150	 0.0525705190
 -258100	 0.0517481810
 -258050	 0.0509176624
 -258000	 0.0500792822
 -257950	 0.0492333622
 -257900	 0.0483802275
 -257850	 0.0475202061
 -257800	 0.0466536289
 -257750	 0.0457808297
 -257700	 0.0449021451
 -257650	 0.0440179145
 -257600	 0.0431284798
 -257550	 0.0422341858
 -257500	 0.0413353796
 -257450	 0.0404324108
 -257400	 0.0395256316
 -257350	 0.0386153965
 -257300	 0.0377020620
 -257250	 0.0367859872
 -257200	 0.0358675331
 -257150	 0.0349470629
 -257100	 0.0340249417
 -257050	 0.0331015365
 -257000	 0.0321772165
 -256950	 0.0312523521
 -256900	 0.0303273158
 -256850	 0.0294024818
 -256800	 0.0284782255
 -256750	 0.0275549241
 -256700	 0.0266329562
 -256650	 0.0257127014
 -256600	 0.0247945411
 -256550	 0.0238788575
 -256500	 0.0229660340
 -256450	 0.0220564552
 -256400	 0.0211505064
 -256350	 0.0202485741
 -256300	 0.0193510453
 -256250	 0.0184583081
 -256200	 0.0175707510
 -256150	 0.0166887631
 -256100	 0.0158127342
 -256050	 0.0149430544
 -256000	 0.0140801141
 -255950	 0.0132243041
 -255900	 0.0123760153
 -255850	 0.0115356388
 -255800	 0.0107035657
 -255750	 0.0098801870
 -255700	 0.0090658935
 -255650	 0.0082610761
 -255600	 0.0074661250
 -255550	 0.0066814303
 -255500	 0.0059073816
 -255450	 0.0051443678
 -255400	 0.0043927774
 -255350	 0.0036529982
 -255300	 0.0029254169
 -255250	 0.0022104197
 -255200	 0.0015083916
 -255150	 0.0008197167
 -255100	 0.0001447781
 -255050	-0.0005160426
 -255000	-0.0011623648
 -254950	-0.0017938094
 -254900	-0.0024099987
 -254850	-0.0030105563
 -254800	-0.0035951077
 -254750	-0.0041632800
 -254700	-0.0047147018
 -254650	-0.0052490039
 -254600	-0.0057658187
 -254550	-0.0062647807
 -254500	-0.0067455266
 -254450	-0.0072076950
 -254400	-0.0076509270
 -254350	-0.0080748657
 -254300	-0.0084791570
 -254250	-0.0088634488
 -254200	-0.0092273920
 -254150	-0.0095706399
 -254100	-0.0098928485
 -254050	-0.0101936766
 -254000	-0.0104727860
 -253950	-0.0107298414
 -253900	-0.0109645103
 -253850	-0.0111764636
 -253800	-0.0113653752
 -253750	-0.0115309222
 -253700	-0.0116727852
 -253650	-0.0117906481
 -253600	-0.0118841982
 -253550	-0.0119531264
 -253500	-0.0119971272
 -253450	-0.0120158989
 -253400	-0.0120091433
 -253350	-0.0119765662
 -253300	-0.0119178773
 -253250	-0.0118327902
 -253200	-0.0117210226
 -253150	-0.0115822961
 -253100	-0.0114163367
 -253050	-0.0112228746
 -253000	-0.0110016441
 -252950	-0.0107523841
 -252900	-0.0104748377
 -252850	-0.0101687526
 -252800	-0.0098338810
 -252750	-0.0094699798
 -252700	-0.0090768106
 -252650	-0.0086541394
 -252600	-0.0082017375
 -252550	-0.0077193807
 -252500	-0.0072068497
 -252450	-0.0066639305
 -252400	-0.0060904138
 -252350	-0.0054860956
 -252300	-0.0048507769
 -252250	-0.0041842640
 -252200	-0.0034863684
 -252150	-0.0027569069
 -252100	-0.0019957018
 -252050	-0.0012025806
 -252000	-0.0003773765
 -251950	 0.0004800721
 -251900	 0.0013699209
 -251850	 0.0022923203
 -251800	 0.0032474148
 -251750	 0.0042353434
 -251700	 0.0052562392
 -251650	 0.0063102296
 -251600	 0.0073974362
 -251550	 0.0085179746
 -251500	 0.0096719546
 -251450	 0.0108594801
 -251400	 0.0120806488
 -251350	 0.0133355526
 -251300	 0.0146242773
 -251250	 0.0159469024
 -251200	 0.0173035015
 -251150	 0.0186941419
 -251100	 0.0201188849
 -251050	 0.0215777853
 -251000	 0.0230708918
 -250950	 0.0245982469
 -250900	 0.0261598865
 -250850	 0.0277558406
 -250800	 0.0293861324
 -250750	 0.0310507791
 -250700	 0.0327497912
 -250650	 0.0344831729
 -250600	 0.0362509220
 -250550	 0.0380530298
 -250500	 0.0398894811
 -250450	 0.0417602541
 -250400	 0.0436653207
 -250350	 0.0456046462
 -250300	 0.0475781892
 -250250	 0.0495859020
 -250200	 0.0516277302
 -250150	 0.0537036129
 -250100	 0.0558134824
 -250050	 0.0579572647
 -250000	 0.0601348791
 -249950	 0.0623462383
 -249900	 0.0645912484
 -249850	 0.0668698090
 -249800	 0.0691818129
 -249750	 0.0715271464
 -249700	 0.0739056894
 -249650	 0.0763173149
 -249600	 0.0787618895
 -249550	 0.0812392732
 -249500	 0.0837493193
 -249450	 0.0862918749
 -249400	 0.0888667801
 -249350	 0.0914738688
 -249300	 0.0941129681
 -249250	 0.0967838990
 -249200	 0.0994864755
 -249150	 0.1022205055
 -249100	 0.1049857903
 -249050	 0.1077821247
 -249000	 0.1106092973
 -248950	 0.1134670901
 -248900	 0.1163552787
 -248850	 0.1192736324
 -248800	 0.1222219143
 -248750	 0.1251998809
 -248700	 0.1282072827
 -248650	 0.1312438637
 -248600	 0.1343093619
 -248550	 0.1374035090
 -248500	 0.1405260304
 -248450	 0.1436766455
 -248400	 0.1468550677
 -248350	 0.1500610041
 -248300	 0.1532941559
 -248250	 0.1565542185
 -248200	 0.1598408810
 -248150	 0.1631538269
 -248100	 0.1664927336
 -248050	 0.1698572729
 -248000	 0.1732471107
 -247950	 0.1766619072
 -247900	 0.1801013169
 -247850	 0.1835649888
 -247800	 0.1870525662
 -247750	 0.1905636868
 -247700	 0.1940979831
 -247650	 0.1976550819
 -247600	 0.2012346048
 -247550	 0.2048361679
