time sealevel 
-81750 -42.5578142
-81700 -42.6425137
-81650 -42.7272131
-81600 -42.8119126
-81550 -42.8966120
-81500 -42.9813115
-81450 -43.0660109
-81400 -43.1507104
-81350 -43.3928431
-81300 -44.0208540
-81250 -44.6488650
-81200 -45.2768759
-81150 -45.9048869
-81100 -46.5328978
-81050 -47.1609088
-81000 -47.7889197
-80950 -48.4169307
-80900 -49.0449416
-80850 -49.6729526
-80800 -50.2140967
-80750 -50.5610858
-80700 -50.9080748
-80650 -51.2550639
-80600 -51.6020529
-80550 -51.9490420
-80500 -52.2960310
-80450 -52.6430201
-80400 -52.9900091
-80350 -53.3369982
-80300 -53.6839872
-80250 -53.9397523
-80200 -54.0139781
-80150 -54.0882040
-80100 -54.1624299
-80050 -54.2366557
-80000 -54.3108816
-79950 -54.3851075
-79900 -54.4593333
-79850 -54.5335592
-79800 -54.6077851
-79750 -54.6820109
-79700 -54.8215134
-79650 -55.0949927
-79600 -55.3684720
-79550 -55.6419513
-79500 -55.9154307
-79450 -56.1889100
-79400 -56.4623893
-79350 -56.7358686
-79300 -57.0192454
-79250 -57.3973123
-79200 -57.7753792
-79150 -58.1534461
-79100 -58.5315130
-79050 -58.9095799
-79000 -58.7258099
-78950 -58.3012527
-78900 -57.8766954
-78850 -57.4521381
-78800 -57.0275809
-78750 -56.6030236
-78700 -56.1784664
-78650 -55.7539091
-78600 -55.3293518
-78550 -54.9047946
-78500 -54.4802373
-78450 -54.0556800
-78400 -53.6311228
-78350 -53.2065655
-78300 -52.7820083
-78250 -52.3574510
-78200 -51.9328937
-78150 -51.8664839
-78100 -51.9241004
-78050 -51.9817168
-78000 -52.0393333
-77950 -52.0969498
-77900 -52.1545663
-77850 -52.2121828
-77800 -52.2697993
-77750 -52.3274158
-77700 -52.3850323
-77650 -52.4426487
-77600 -52.5002652
-77550 -52.5578817
-77500 -52.6154982
-77450 -52.6731147
-77400 -52.7307312
-77350 -52.7883477
-77300 -52.8459642
-77250 -52.9035806
-77200 -52.9611971
-77150 -53.0188136
-77100 -53.0764301
-77050 -53.0172925
-77000 -52.7847716
-76950 -52.5522507
-76900 -52.3197298
-76850 -52.0872089
-76800 -51.8546880
-76750 -51.6221671
-76700 -51.3896462
-76650 -51.1571253
-76600 -50.9246045
-76550 -50.6920836
-76500 -50.4595627
-76450 -50.2270418
-76400 -49.9945209
-76350 -49.7620000
-76300 -50.6777035
-76250 -51.5934070
-76200 -52.5091106
-76150 -53.4248141
-76100 -54.3405176
-76050 -55.2562211
-76000 -56.1719246
-75950 -57.0800000
-75900 -57.8201786
-75850 -58.5603571
-75800 -59.3005357
-75750 -60.0407143
-75700 -60.7808929
-75650 -61.3669211
-75600 -61.7217240
-75550 -62.0765269
-75500 -62.4313297
-75450 -62.7861326
-75400 -63.1409355
-75350 -63.4957384
-75300 -63.8505412
-75250 -64.2053441
-75200 -64.5601470
-75150 -64.9149498
-75100 -65.2697527
-75050 -65.6245556
-75000 -65.9793584
-74950 -66.3341613
-74900 -66.6889642
-74850 -67.0437670
-74800 -67.3985699
-74750 -67.7533728
-74700 -68.1081756
-74650 -68.4629785
-74600 -68.8177814
-74550 -69.1725842
-74500 -69.5273871
-74450 -69.8821900
-74400 -70.2369928
-74350 -70.5917957
-74300 -70.9465986
-74250 -71.1136027
-74200 -71.0888259
-74150 -71.0640491
-74100 -71.0392723
-74050 -71.0144955
-74000 -70.5890773
-73950 -70.1554826
-73900 -69.7218880
-73850 -69.2882934
-73800 -68.8546988
-73750 -68.4211041
-73700 -67.9875095
-73650 -67.5539149
-73600 -67.1203203
-73550 -66.6867256
-73500 -66.2531310
-73450 -65.8195364
-73400 -65.3859418
-73350 -64.9523471
-73300 -64.5187525
-73250 -64.0851579
-73200 -63.6515633
-73150 -63.2615345
-73100 -63.2068791
-73050 -63.1522238
-73000 -63.0975685
-72950 -63.0429132
-72900 -62.9882578
-72850 -62.9336025
-72800 -62.8789472
-72750 -62.8242919
-72700 -62.7696365
-72650 -62.7149812
-72600 -62.6603259
-72550 -62.6056705
-72500 -62.5510152
-72450 -62.4963599
-72400 -62.4417046
-72350 -62.3870492
-72300 -62.3323939
-72250 -62.2777386
-72200 -62.2230833
-72150 -62.1684279
-72100 -62.1137726
-72050 -62.0591173
-72000 -61.8489516
-71950 -61.5961834
-71900 -61.3434152
-71850 -61.0906471
-71800 -60.8378789
-71750 -60.5851107
-71700 -61.3540145
-71650 -62.1654879
-71600 -62.9769614
-71550 -63.7884348
-71500 -64.5999082
-71450 -65.4113816
-71400 -66.2228551
-71350 -67.0343285
-71300 -67.8458019
-71250 -68.6572754
-71200 -69.4687488
-71150 -70.2802222
-71100 -71.0916957
-71050 -71.9031691
-71000 -72.7146425
-70950 -73.5261159
-70900 -74.1953123
-70850 -74.6329762
-70800 -75.0706400
-70750 -75.5083039
-70700 -75.9459678
-70650 -76.3836317
-70600 -76.8212956
-70550 -77.2589595
-70500 -77.6966234
-70450 -78.1342872
-70400 -78.5719511
-70350 -79.0096150
-70300 -79.4472789
-70250 -79.8849428
-70200 -80.3226067
-70150 -80.7602706
-70100 -81.1979344
-70050 -81.4206000
-70000 -81.4999333
-69950 -81.5792667
-69900 -81.6878363
-69850 -81.8185885
-69800 -81.9493407
-69750 -82.0800929
-69700 -82.2108451
-69650 -82.3415973
-69600 -82.4723496
-69550 -82.6031018
-69500 -82.7338540
-69450 -82.9838835
-69400 -83.3413519
-69350 -83.6988203
-69300 -84.0562886
-69250 -84.4137570
-69200 -84.7712253
-69150 -85.1286937
-69100 -85.4861620
-69050 -85.9211322
-69000 -86.4036034
-68950 -86.8860747
-68900 -87.3848000
-68850 -87.9998000
-68800 -88.6148000
-68750 -89.2298000
-68700 -89.8448000
-68650 -90.4598000
-68600 -91.0748000
-68550 -91.6898000
-68500 -92.3048000
-68450 -92.9198000
-68400 -93.5348000
-68350 -94.1498000
-68300 -94.5889971
-68250 -94.9575643
-68200 -95.3261316
-68150 -95.6946988
-68100 -96.0632661
-68050 -96.4318333
-68000 -96.8004006
-67950 -96.8638923
-67900 -96.8732879
-67850 -96.8826835
-67800 -96.8920791
-67750 -96.9014747
-67700 -96.9108703
-67650 -96.9202659
-67600 -96.9296615
-67550 -96.9390571
-67500 -96.5950000
-67450 -96.1241667
-67400 -95.6533333
-67350 -95.1825000
-67300 -94.7116667
-67250 -94.2408333
-67200 -93.7700000
-67150 -93.2991667
-67100 -92.8283333
-67050 -92.4063053
-67000 -92.0189008
-66950 -91.6314962
-66900 -91.3950728
-66850 -91.1649404
-66800 -90.9348079
-66750 -90.8443158
-66700 -90.7627368
-66650 -90.6811579
-66600 -90.6739375
-66550 -90.6942500
-66500 -90.7145625
-66450 -90.7813974
-66400 -90.8545762
-66350 -90.9277550
-66300 -91.0520066
-66250 -91.1845724
-66200 -91.3171382
-66150 -91.5076400
-66100 -91.7464400
-66050 -91.9852400
-66000 -92.3174737
-65950 -92.6730658
-65900 -93.0286579
-65850 -93.4650596
-65800 -93.9269801
-65750 -94.3889007
-65700 -94.8603821
-65650 -95.3315203
-65600 -95.8026585
-65550 -96.2149603
-65500 -96.6020464
-65450 -96.9891325
-65400 -97.2863553
-65350 -97.5412895
-65300 -97.7962237
-65250 -98.0050124
-65200 -98.1428223
-65150 -98.2806322
-65100 -98.3908940
-65050 -98.4842715
-65000 -98.5776490
-64950 -98.6720395
-64900 -98.7671053
-64850 -98.8621711
-64800 -98.9687500
-64750 -99.0963136
-64700 -99.2255508
-64650 -99.3587171
-64600 -99.4952303
-64550 -99.6317434
-64500 -99.7481788
-64450 -99.8445364
-64400 -99.9408940
-64350 -100.0129429
-64300 -100.0220345
-64250 -100.0194483
-64200 -99.9817219
-64150 -99.8992715
-64100 -99.8168212
-64050 -99.7123553
-64000 -99.5774868
-63950 -99.4426184
-63900 -99.3040541
-63850 -99.1658761
-63800 -99.0318053
-63750 -98.9092848
-63700 -98.8072980
-63650 -98.7053113
-63600 -98.6165263
-63550 -98.5533684
-63500 -98.4902105
-63450 -98.4306250
-63400 -98.3765091
-63350 -98.3192364
-63300 -98.2500000
-63250 -98.1500000
-63200 -98.0500000
-63150 -97.9250464
-63100 -97.7210728
-63050 -97.5170993
-63000 -97.2951429
-62950 -96.9835926
-62900 -96.6206296
-62850 -96.2389007
-62800 -95.7716821
-62750 -95.3044636
-62700 -94.8291053
-62650 -94.3110132
-62600 -93.7929211
-62550 -93.2766424
-62500 -92.7736623
-62450 -92.2706821
-62400 -91.7711250
-62350 -91.2882817
-62300 -90.8027183
-62250 -90.3123684
-62200 -89.7669737
-62150 -89.2215789
-62100 -88.6692407
-62050 -87.9502593
-62000 -87.2312778
-61950 -86.5122963
-61900 -85.6660926
-61850 -84.7880833
-61800 -83.8857219
-61750 -82.9696623
-61700 -82.0536026
-61650 -81.1375430
-61600 -80.2214834
-61550 -79.3054238
-61500 -78.5023846
-61450 -77.7746923
-61400 -77.0470000
-61350 -76.4696467
-61300 -75.8947964
-61250 -75.3199461
-61200 -74.8233673
-61150 -74.3708163
